,0
0,Connecticut
1,Delaware
2,Indiana
3,Iowa
4,Kentucky
5,Louisiana
6,Minnesota
7,Missouri
8,Montana
9,Nebraska
10,Oklahoma
11,Oregon
12,Pennsylvania
13,Rhode Island
14,Tennessee
